Word,Occurence_CHN,Translation,Eng_Word,Occurence_ENG,Triology
汪淼,642,Wang Miao,Wang,674,1
叶文洁,447,Ye WenJie,Ye,565,1
三体,336,Three Body/Trisolaran,time,423,1
太阳,291,Sun,sun,349,1
文明,271,Civilization,Red,242,1
世界,253,World,Shi,219,1
宇宙,215,Universe,World,201,1
地球,206,Earth,civilization,183,1
红岸,153,Red Coast,Coast,153,1
科学,124,Science,Yang,134,1
罗辑,1110,Luo Ji,Luo,898,2
舰队,441,Fleet,ji,801,2
太空,386,Space,space,734,2
面壁,377,Wallfacer,time,597,2
人类,368,Human,Zhang,406,2
世界,339,World,fleet,402,2
北海,327,Bei Hai,people,382,2
地球,312,Earth,Wallfacer,363,2
计划,257,Plan/Project,earth,356,2
三体,211,Three Body/Trisolaran,world,349,2
程心,1482,Cheng Xin,Cheng,1419,3
世界,681,World,xin,1408,3
宇宙,543,Universe,Space,899,3
地球,514,Earth,time,686,3
太空,501,Space,system,479,3
飞船,464,SpaceShip,earth,466,3
人类,457,Human,three,454,3
三体,364,Trisolaran,world,450,3
时间,349,Time,light,425,3
光速,329,LightSpeed,years,402,3
